A;P;H;Kf;Km
2.2;65;55;4.38;240.92
2.05;72;57;4.49;255.85
1.9;75;60;4.82;289.34
1.8;75;62;5.18;321.44
1.7;72;68;5.77;392.2
1.7;72;70;5.77;403.74
1.1;90;70;8.63;603.9
1.1;95;70;8.21;574.39
1.7;70;65;5.88;382.49
1.3;85;63;7.25;456.88
1.6;110;63;4.27;269.3
1.65;105;43;4.31;185.45
1.52;105;30;4.81;144.42
3.1;75;28;2.5;70.09
2.9;76;25;2.71;67.75
1.66;85;45;5.23;235.23
2.15;68;45;4.38;197.26
1.96;74;50;4.67;233.61
1.9;70;55;5.07;278.85
1.7;74;55;5.65;310.93
1.42;65;50;7.87;393.65
1.3;65;50;8.86;443.06
1.16;70;45;9.82;441.8
1.2;65;43;9.86;424.15
1.35;62;36;8.68;312.54
1.6;72;35;6.26;218.94
1.25;88;30;7.42;222.51
1.32;95;24;6.43;154.27
1.66;90;23;4.97;114.35
1.6;98;20;4.82;96.42
1.655;100;26;4.52;117.42
1.9;72;32;4.97;159.02
1.1;122;32;6.26;200.34
1.08;120;37;6.55;242.21
1.08;120;33;6.55;216.03
1.12;135;50;5.36;268.25
1.5;78;52;6.42;333.96
1.3;71;55;8.34;458.93
1.2;65;44;9.86;434.02
1.24;68;36;9.16;329.78
1.53;63;34;7.27;247.13
1.2;113;32;6.1;195.13
1.27;130;25;4.77;119.17
1.4;121;23;4.58;105.3
1.5;121;20;4.17;83.48
1.73;116;18;3.63;65.26
1.5;118;23;4.3;98.94
2.15;68;34;4.38;149.04
1.9;70;35;5.07;177.45
1.3;81;40;7.55;301.95
1.18;94;43;7.54;324.41
1.15;98;45;7.5;337.61
1.1;107;50;7.28;363.8
1.55;76;53;6.27;332.35
1.46;78;54;6.66;359.59
1.623;117;55;3.91;215.03
1.4;122;47;4.53;213.03
1.48;140;38;3.51;133.5
1.5;135;33;3.63;119.72
2.05;77;23;4.27;98.19
2.0;150;13;2.12;27.61
1.58;138;14;3.28;45.97
1.4;133;20;4.06;81.19
1.4;135;23;3.98;91.52
1.32;140;25;4.09;102.37
1.3;130;32;4.62;147.84
1.33;136;35;4.22;147.68
2.0;78;33;4.37;144.17
1.33;85;46;7.03;323.56
1.31;90;50;6.83;341.36
1.7;74;50;5.65;282.66
1.52;73;48;6.63;318.41
1.8;70;41;5.45;223.48
1.33;90;32;6.69;214.08
1.5;92;25;5.58;139.54
2.0;70;10;4.73;47.33
1.85;67;10;5.41;54.15
2.3;75;10;3.73;37.34
1.6;94;13;5.02;65.23
1.47;92;13;5.73;74.55
1.98;73;13;4.66;60.52
1.8;69;14;5.51;77.08
1.7;72;15;5.77;86.52
1.48;70;15;7.08;106.27
1.2;70;15;9.38;140.73
1.08;60;13;11.94;155.25
0.9;60;13;15.25;198.19
0.88;65;13;14.94;194.26
0.9;65;13;14.5;188.5
1.24;73;11;8.71;95.84
1.9;142;10;2.46;24.64
1.8;125;10;3.14;31.41
1.74;120;10;3.46;34.56
1.7;122;10;3.49;34.95
1.8;131;10;2.96;29.58
1.57;139;9;3.28;29.51
2.3;77;9;3.66;32.94
2.12;76;10;4.12;41.23
1.3;90;9;6.9;62.08
1.7;74;9;5.65;50.88
1.68;71;10;5.92;59.19
1.53;75;10;6.45;64.45
1.52;73;11;6.63;72.97
1.57;68;11;6.68;73.46
1.52;70;11;6.84;75.2
